step,simulation_time,real_time,px,py,pz,vx,vy,vz,stiffness
138,0.27600001310929656,1.0506489276885986,-2.880383931369579e-07,5.369146833800187e-07,123.35948181152344,-7.537971358217987e-10,4.161253386314456e-08,-10.064109802246094,12328.056759348035
139,0.27800001320429146,1.0586941242218018,-2.9559390668509877e-07,5.314830104907742e-07,123.33786010742188,-8.109375948528452e-10,5.1924850197337946e-08,-10.039896011352539,11923.094512831212
140,0.28000001329928637,1.06380295753479,-3.0322721045195067e-07,5.260232001091936e-07,123.31631469726562,-7.455694395197554e-10,4.295974065371411e-08,-9.984715461730957,11545.186827987161
141,0.28200001339428127,1.0695018768310547,-3.1093696861717035e-07,5.205092179494386e-07,123.29491424560547,-7.857385853071719e-10,4.4486299088930537e-08,-9.898686408996582,11192.812595889145
142,0.28400001348927617,1.0741798877716064,-3.1872218642092776e-07,5.149382786839851e-07,123.27371215820312,-7.529818990548165e-10,4.599284864070796e-08,-9.78356647491455,10864.293698907923
143,0.2860000135842711,1.0790860652923584,-3.265815564645891e-07,5.093129971101007e-07,123.25276947021484,-7.99347921187632e-10,4.1487453472655034e-08,-9.639426231384277,10558.19286234822
144,0.288000013679266,1.0840671062469482,-3.345139134580677e-07,5.036418428971956e-07,123.23213958740234,-5.012736892240355e-10,7.299288995454845e-08,-9.4678373336792,10273.072834586692
145,0.2900000137742609,1.1099984645843506,-3.4251922897965414e-07,4.979432333129807e-07,123.21188354492188,-8.219308567092298e-10,4.289563548809383e-08,-9.269172668457031,10007.715603292276
146,0.2920000138692558,1.1152620315551758,-3.5059696301686927e-07,4.921854497297318e-07,123.19205474853516,-8.443669097246698e-10,4.4435658708152914e-08,-9.044427871704102,9760.905783555536
147,0.2940000139642507,1.1204283237457275,-3.587475134736451e-07,4.863830440626771e-07,123.17269134521484,-8.103556159433367e-10,4.495698746609378e-08,-8.795333862304688,9531.360840599316
148,0.2960000140592456,1.125178337097168,-3.6697113614536647e-07,4.805638127436396e-07,123.15385437011719,-8.467427314862164e-10,4.594025782012068e-08,-8.522417068481445,9318.18479599971
149,0.2980000141542405,1.1303248405456543,-3.7526879737015406e-07,4.746687807255512e-07,123.13558197021484,-9.160737723945545e-10,4.472056502891064e-08,-8.226744651794434,9120.31578107406
150,0.3000000142492354,1.135552167892456,-3.8364180454664165e-07,4.686960721755895e-07,123.11792755126953,-8.438152954148848e-10,5.0048122091084224e-08,-7.9097394943237305,8936.960200172023
151,0.3020000143442303,1.1404705047607422,-3.9209035662679526e-07,4.6264383968264156e-07,123.10092163085938,-6.993156054235783e-10,6.765431237454322e-08,-7.573248386383057,8767.178522117107
